title,cover,publisher,description,author_id,year_id,award
Rite of Passage,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ace Books,"Rite of Passage is told as a flashback by Mia Havero, the daughter of the Chairman of the Ship's Council, after she has completed her own rite of passage, also known as Trial. She has survived for thirty days on a colony planet with minimal supplies as part of her initiation into adulthood on one of several giant Ships that survived Earth's destruction in AD 2041. To prevent overpopulation on the Ships, family units can only produce children with the approval of the Ship's Eugenics Council. The penalty for breaking this rule is exile to a colony world.

By the year 2198, Mia Havero is twelve years old and, like most of Ship-bound humanity, regards the colonists as ""Mudeaters"", a derogatory reference to frontier life on a planet. When she accompanies her father on a trading mission to the planet Grainau, Mia learns from the children of a Grainau official that the feeling is mutual; many on the colony worlds call Ship people ""Grabbies"" because they take whatever goods they cannot produce on the Ships in return for knowledge and technology (doled out sparingly), the heritage of Earth to which the ship residents have laid claim and which colonists are unable to maintain, being too busy staying alive.",8,4,Nebula
Seeker,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ace Books,"The story is set approximately 10,000 years in the future, after civilization has expanded to inhabit countless worlds. Alex Benedict and his partner Chase Kolpath are astroarchaeologists involved in the examination of abandoned bases and deserted space-craft in search of valuable items.",36,42,Nebula
Slow River,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Del Rey Books,"Lore Van de Oest was born in one of the mightiest families on earth. However, she suddenly loses everything.",31,32,Nebula
Speaker for the Dead,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,"The book takes place around the year 5270, some 3,000 years after the events in Ender's Game. However, because of relativistic space travel, Ender himself is only about 35 years old.",22,22,Nebula & Hugo
Spin,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,"The story opens when Tyler Dupree is twelve years old. Tyler and his mother live in a guest house on the property of aerospace millionaire E.D. Lawton and his alcoholic wife, Carol. Tyler is friends with the couple's thirteen-year-old twins Jason, a brilliant student who is being groomed to take over the family business, and Diane, with whom Tyler is in love. One night while stargazing, the three children witness all the stars simultaneously disappear. Telecommunications suffer as every satellite falls out of orbit simultaneously. Attempts to communicate with the ISS are unsuccessful.",63,41,Hugo
Stand on Zanzibar,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Doubleday,"Stand on Zanzibar was innovative within the science fiction genre for mixing narrative with entire chapters dedicated to providing background information and worldbuilding, to create a sprawling narrative that presents a complex and multi-faceted view of the story's future world. Such information-rich chapters were often constructed from many short paragraphs, sentences, or fragments thereof — pulled from sources such as slogans, snatches of conversation, advertising text, songs, extracts from newspapers and books, and other cultural detritus. The result is reminiscent of the concept of information overload.",53,4,Hugo
Starship Troopers,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,The Magazine of Fantasy & Science Fiction,"The first-person narrative is about a young soldier named Juan ""Johnny"" Rico and his exploits in the Mobile Infantry, a futuristic military service branch equipped with powered armor. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs"".",46,61,Hugo
Startide Rising,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bantam Books,"In the year 2489 C.E.,[3] Terran spaceship Streaker — crewed by 150 uplifted dolphins, seven humans, and one uplifted chimpanzee — discovers a derelict fleet of 50,000 spaceships the size of small moons in a shallow cluster. They appear to belong to the Progenitors, the legendary ""first race"" which uplifted the other species. The captain's gig is sent to investigate but is destroyed along with one of the derelict craft — killing 10 crew members. Streaker manages to recover some artifacts from the destroyed derelict and one well-preserved alien body. The crew of Streaker uses psi-cast to inform Earth of their discovery and to send a hologram of the alien.",20,19,Nebula & Hugo
Stations of the Tide,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Asimov's Science Fiction,"Stations of the Tide is the story of a bureaucrat with the Department of Technology Transfer who must descend to the surface of Miranda to hunt a magician who has smuggled proscribed technology past the orbital embargo, and bring him to justice before the world is transformed by the flood of the Jubilee Tides.",26,27,Nebula
Stranger in a Strange Land,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Putnam Publishing Group,"It tells the story of Valentine Michael Smith, a human who comes to Earth in early adulthood after being born on the planet Mars and raised by Martians. The novel explores his interaction with—and eventual transformation of—terrestrial culture.",46,63,Hugo
Tehanu: The Last Book of Earthsea,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Macmillan Publishers,"Tehanu begins slightly before the conclusion of the previous book in the series, The Farthest Shore, and provides some information about the life of Tenar after the end of The Tombs of Atuan. She had rejected the option of life in Havnor, and instead arrived on Gont. For some time she lived with Ged's old master Ogion – but though fond of him, rejected Ogion’s offer to teach her magic. Instead, she married a farmer called Flint with whom she had two children, called Apple and Spark, and became known to the locals as Goha. It is mentioned that Ged was a bit disappointed in – and did not understand – Tenar's choice of a life.",9,26,Nebula
The Big Time,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Galaxy Science Fiction,"The storyline features members of one of two factions, both capable of time travel, engaged in a long-term conflict called ""The Change War"". Their method of battle involves changing the outcomes of events throughout history (temporal war). The two opposing groups are nicknamed the Spiders and the Snakes after their respective sponsors. ",47,59,Hugo
The City and the City,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Del Rey Books,"Inspector Tyador Borlú, of the Extreme Crime Squad in the European city-state of Besźel, investigates the murder of Mahalia Geary, a foreign student found dead with her face disfigured in a Besźel street. He soon learns that Geary had been involved in the political and cultural turmoil involving Besźel and its ""twin city"" of Ul Qoma. His investigations start in his home city of Besźel, lead him to Ul Qoma to assist the Ul Qoman police in their work, and eventually result in an examination of the legend of Orciny, a rumoured third city existing in the spaces between Besźel and Ul Qoma.",64,45,Hugo
The Claw of the Conciliator,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Timescape Books,"The book continues the story of Severian, a journeyman in the Seekers for Truth and Penitence (the guild of torturers), describing his travels north to the city of Thrax.",18,17,Nebula
The Demolished Man,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Galaxy Science Fiction,"In a world in which the police have telepathic powers, how do you get away with murder?

Ben Reichs heads a huge 24th century business empire, spanning the solar system. He is also an obsessed, driven man determined to murder a rival.
To avoid capture, in a society where murderers can be detected even before they commit their crime, is the greatest challenge of his life.",43,54,Hugo
The Diamond Age,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bantam Spectra,"The protagonist in the story is Nell, a thete (or person without a tribe; equivalent to the lowest working class) living in the Leased Territories, a lowland slum belt on the artificial, diamondoid island of New Chusan, located offshore from the mouth of the Yangtze River, northwest of Shanghai.[5] At the age of four, Nell receives a stolen copy of an interactive book, Young Lady's Illustrated Primer: a Propædeutic Enchiridion, in which is told the tale of Princess Nell and her various friends, kin, associates, &c.,[6] originally intended for the wealthy Neo-Victorian ""Equity Lord"" Chung-Sik Finkle-McGraw's granddaughter. The story follows Nell's development under the tutelage of the Primer, and to a lesser degree, the lives of Elizabeth and Fiona, girls who receive similar books. The Primer is intended to steer its reader intellectually toward a more interesting life, as defined by ""Equity Lord"" Alexander Chung-Sik Finkle-McGraw,[7] and growing up to be an effective member of society. The most important quality to achieving an ""interesting life"" is deemed to be a subversive attitude towards the status quo. The Primer is designed to react to its owners' environment and teach them what they need to know to survive and develop.",59,31,Hugo
The Dispossessed,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Harper & Row,"It features the development of the mathematical theory underlying the fictional ansible, an instantaneous communications device that plays a critical role in Le Guin's Hainish Cycle. The invention of the ansible places the novel first in the internal chronology of the Hainish Cycle, although it was the fifth Hainish novel published.",9,10,Nebula & Hugo
The Einstein Intersection,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ace Books,"The Einstein Intersection is a 1967 science fiction novel by Samuel R. Delany. It won the Nebula Award for Best Novel in 1967[1] and was nominated for the Hugo Award for Best Novel in 1968.[2] Delany's intended title for the book was A Fabulous, Formless Darkness.

The novel is purportedly influenced by Marcel Camus' 1959 film Black Orpheus. The protagonist, Lo Lobey, is loosely based on the character of Orpheus, and the character of Kid Death is likewise based on Death in that film.",7,3,Nebula
The Falling Woman,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,"Elizabeth Butler is an archaeologist, and the author of several popular books that challenge her colleagues' ideas about Maya civilization. Elizabeth has a strange gift, connected to a suicide attempt as a young woman, which allows her to see the spirits of ancient people while she walks at dusk and dawn. The story opens with Elizabeth in the middle of an eight-week field study at Dzibilchaltún. Her team hopes to find dramatic artifacts that will spark interest and increased funding for future field studies at the site.",23,23,Nebula
The Fifth Season,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Orbit Books,"The Fifth Season takes place on a planet with a single supercontinent called the Stillness. Every few centuries, its inhabitants endure what they call a ""Fifth Season"" of catastrophic climate change.",67,51,Hugo
The Forever War,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,St. Martin's Press,"William Mandella is a physics student conscripted for an elite task force in the United Nations Exploratory Force being assembled for a war against the Taurans, an alien species discovered when they apparently attacked human colonists' ships. The UNEF ground troops are sent out for reconnaissance and revenge.",14,11,Nebula & Hugo
The Fountains of Paradise,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Victor Gollancz Ltd," Set in the 22nd century, it describes the construction of a space elevator. This ""orbital tower"" is a giant structure rising from the ground and linking with a satellite in geostationary orbit at the height of approximately 36,000 kilometers (approx. 22,300 miles). Such a structure would be used to raise payloads to orbit without having to use rockets, making it much more cost effective.",13,15,Nebula & Hugo
The Gods Themselves,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Galaxy Science Fiction,"The main plot-line is a project by aliens who inhabit a parallel universe (the para-Universe) with different physical laws from this one. By exchanging matter with Earth, they seek to exploit these differences in physical laws. The exchange of matter provides an alternative source of energy in their dying Universe. However, the exchange of physical laws will have the ultimate result of turning the Earth's Sun into a supernova, and possibly even turning a large part of the Milky Way into a quasar. This is the alien's ultimate goal, as it would provide more energy for the para-Universe.

The exact time when the novel occurs isn't specified, but it is stated to be approximately two and a half centuries since the Opening of Japan and a century and a half since the discovery of quasars, suggesting early 22nd Century.",12,8,Nebula & Hugo
The Graveyard Book,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,HarperCollins,"The story begins as Jack (usually referred to in the novel as ""the man Jack"") murders most of the members of a family (later revealed to be the Dorian family) except for the toddler upstairs. Unknown to him, the toddler has climbed out of his crib to explore. The toddler crawls out of the house and up a hill to a graveyard where the ghosts find him. They discuss whether to keep him until the Lady on the Grey (implied to be the Angel of Death) appears and suggests that the baby should be kept (""The dead should have charity""). 

The bulk of the book is about Nobody's (often called Bod) adventures in and out of the graveyard as he grows up. As a boy, he befriends a girl called Scarlett Perkins, and she is eventually convinced by her mother that he is her imaginary friend. It is with her that Bod discovers a creature called the Sleer, who has been waiting for thousands of years for his ""Master"" to come and reclaim him. ",34,44,Hugo
The Healer's War,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Doubleday Foundation,"Although perhaps best-known for her lightly humorous fantasies and for her collaborations with Anne McCaffrey on the Petaybee series and the Acorna series, Elizabeth Anne Scarborough has also written Healer's War, a classic novel of the Vietnam War, enriched with a magical, mystical twist, which won the 1989 Nebula Award for Best Novel of 1988.",25,25,Nebula
The Left Hand of Darkness,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ace Books,"The novel follows the story of Genly Ai, a native of Terra, who is sent to the planet of Gethen as an envoy of the Ekumen, a loose confederation of planets. Ai's mission is to persuade the nations of Gethen to join the Ekumen, but he is stymied by his lack of understanding of Gethenian culture. Individuals on Gethen are ""ambisexual"", with no fixed gender identity. This fact has a strong influence on the culture of the planet, and creates a barrier of understanding for Ai. ",9,5,Nebula & Hugo
The Man in the High Castle,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Putnam Publishing Group,"Set in 1962, fifteen years after an alternative ending to World War II, the novel concerns intrigues between the victorious Axis Powers—primarily, Imperial Japan and Nazi Germany—as they rule over the former United States, as well as daily life under the resulting totalitarian rule. ",50,64,Hugo
The Moon and the Sun,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Pocket Books,"Set in 17th-century France at the court of the Sun King, King Louis XIV, the young, colony-raised, naïve Mademoiselle Marie-Josèphe de la Croix is the lady-in-waiting to King Louis XIV's niece. Her brother, Father Yves de la Croix (a natural philosopher and explorer), has recently returned from a mission commissioned by the king: to bring back the endangered sea monster whose flesh is rumoured to give the consumer immortality. Father Yves brings back two specimens: one, a dead male sea monster covered in sawdust and ice; the other, a live female sea monster placed in the Apollo fountain in the Palace of Versailles.",16,33,Nebula
The Moon is a Harsh Mistress,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,G. P. Putnam's Sons,"At the time of the story, 2075, the Moon (Luna) is used as a penal colony by Earth's government, with the inhabitants living in underground cities. Most inhabitants (called ""Loonies"") are criminals, political exiles, or descendants thereof. The total population is about three million, with men outnumbering women two to one, so that polyandry is the norm. Although Earth's Protector of the Lunar Colonies (called the ""Warden"") holds power, in practice there is little intervention in the loose Lunar society.",46,2,Hugo
The Quantum Rose,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,"The Quantum Rose is a retelling of the Beauty and the Beast folktale in a science fiction setting. In the novel, Kamoj Argali, the governor of an impoverished province on the backward planet Balumil, is betrothed to Jax Ironbridge, ruler of a wealthy neighboring province, an arrangement made for political purposes to save her province from starvation and death. Havyrl (Vyrl) Lionstar, a prince of the titular Ruby Dynasty, comes to Balimul as part of a governmental plan to deal with the aftermath of an interstellar war. Masked and enigmatic, he has a reputation as a monster with Kamoj's people.",33,37,Nebula
The Snow Queen,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Dial Press,"Based on the fairy-tale of the same name by Hans Christian Andersen, The Snow Queen takes place on a mostly oceanic planet called Tiamat, whose suns orbit a black hole, which facilitates a type of interstellar wormhole travel and connects Tiamat to the rest of the civilized galaxy (the ""Hegemony"", the remnants of a fallen Galactic Empire).",56,16,Hugo
The Speed of Dark,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ballantine Books,"Lou Arrendale is a bioinformatics specialist, and high-functioning autistic, who has made a good life for himself. A new manager at the firm where he works puts pressure on the department where many autistic people work. Lou is pressured to undergo an experimental treatment that might ""cure"" his autism. Lou does not think he needs curing, but he risks losing his job and other accommodations the company has put in place for its autistic employees.

Lou struggles with the idea of going through this ""treatment"" for his autism while he pursues fencing with ""normal"" friends and continues to go to work. His autistic friends, as well as himself, meet together after work and discuss what or what not to do.",35,39,Nebula
The Terminal Experiment,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,HarperPrism,"Dr. Peter Hobson invents a machine that detects a brain pattern that leaves the body after death, a pattern many believe is a soul. In order to test their theories on immortality and life after death, Hobson and his friend Sarkar Muhammed create three electronic simulations of Hobson's own personality. When people Hobson had a grudge against begin to die, he and Sarkar must try to find out which is responsible. But all three simulations – two modified, one a 'control' – escape Sarkar's computer, into the Internet and the World Wide Web.",30,31,Nebula
The Three-Body Problem,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,"The Trisolaran world is a stellar system with three suns, the Alpha Centauri System, whose trajectories are entirely unpredictable; because they are an example of the three-body problem from physics. The problem described in the book is actually a four body problem, since the action takes place on a planet which is also a part of the system. The gravitational forces between the suns and the planet are extremely chaotic, and have caused 11 of the original 12 planets to be consumed by the suns. The living environment on the sole remaining planet, Trisolaris, is also extremely harsh: when the planet is within the orbit range of one sun, it enters a short era of stable day-night cycle, which the native Trisolarans term as Stable Era; when the planet is trapped between the orbits of multiple suns, its day-night cycle becomes distorted, and the days may become extremely hot should the planet be too close to any of the suns, or extremely cold if otherwise, and this period is termed as a Chaotic Era.",66,50,Hugo
The Uplift War,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bantam Spectra,"The novel begins in the year 2489 C.E.[1] with the avian Gubru planning to invade Garth, Earthlings on Garth preparing to defend their claim to the planet, and ambassadors from other races getting ready to depart. The Gubru, a conservative and somewhat humorless alien race, attempt to hold Garth hostage in an attempt to learn more about the discovery that the dolphin spaceship Streaker made in Startide Rising about the Progenitors.",20,23,Hugo
The Vor Game,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Baen Books,"Miles Vorkosigan graduates from the Academy, but is upset to learn he is being sent to replace the weather officer at the Empire's winter infantry training base on remote Kyril Island. He is somewhat mollified by the placement officer's explanation that the posting is to see if he can handle the discipline and military routine. If he can, he will be reassigned to a more desirable posting. However, he cannot help but get into trouble.",24,26,Hugo
The Wanderer,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ballantine Books,The novel deals with a wandering planet that enters the solar system. Its narrative follows multiple disconnected groups of characters to portray the widespread impact of the Wanderer on the entire population of the Earth (and above it) as well as the varied reactions of different groups as they struggle to cope and survive.,47,66,Hugo
The Windup Girl,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Night Shade Books,"The Windup Girl is set in 23rd-century Thailand. Global warming has raised the levels of world's oceans, carbon fuel sources have become depleted, and manually wound springs are used as energy storage devices. Biotechnology is dominant and megacorporations like AgriGen, PurCal and RedStar (called calorie companies) control food production through 'genehacked' seeds, and use bioterrorism, private armies and economic hitmen to create markets for their products. Frequent catastrophes, such as deadly and widespread plagues and illness, caused by genetically modified crops and mutant pests, ravage entire populations. The natural genetic seed stock of the world's plants has been almost completely supplanted by those that are genetically engineered to be sterile.",38,45,Nebula & Hugo
The Yiddish Policemen's Union,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,HarperCollins,"The novel is a detective story set in an alternative history version of the present day, based on the premise that during World War II, a temporary settlement for Jewish refugees was established in Sitka, Alaska, in 1941, and that the fledgling State of Israel was destroyed in 1948. The novel is set in Sitka, which it depicts as a large, Yiddish-speaking metropolis.",37,43,Nebula & Hugo
They'd Rather Be Right,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Astounding Science-Fiction,"Two professors create an advanced cybernetic brain, which they call ""Bossy."" Bossy can ""optimise your mind...and give you eternal youth into the bargain, but only if you're ready to abandon all your favourite prejudices.""[1] However, when given the choice of admitting they were wrong and therefore being able to benefit from Bossy's abilities, most people would rather be right, and Bossy's ability to confer immortality is almost made ineffective by humanity's fear of ""her.""",44,56,Hugo
Timescape,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Simon & Schuster,"The story is written from two viewpoints, equidistant from the novel's publication in 1980. The first thread is set in a 1998 ravaged by ecological disasters such as algal blooms and diebacks on the brink of large scale extinctions. 

The second thread is set in the University of California, San Diego (UCSD), in La Jolla, California, in 1962 where a young scientist, Gordon Bernstein, discovers anomalous noise in a physics experiment relating to spontaneous resonance and indium antimonide. He and his student assistant, Albert Cooper (also likely based on the author and his experiences at UCSD), discover that the noise is coming in bursts timed to form Morse code.",17,16,Nebula
To Say Nothing of the Dog,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bantam Spectra,"The story begins in 2057 at Oxford University. A machine which makes time travel possible has been developed, but time travel itself is used primarily as a tool for historical research. Although millions were spent to develop time travel as a commercial venture, it turned out to have no profit potential. 

The novel opens just as one time traveller appears to have violated the laws of the continuum by bringing a cat from Victorian times to 2057.",27,34,Hugo
To Your Scattered Bodies Go,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Putnam Publishing Group,"British adventurer Richard Francis Burton dies on Earth and is revived in mid-air in a vast dark room filled with human bodies, some only half formed. There, he is confronted by men in a flying vehicle who blast him with a weapon.

He next awakes upon the shores of a mysterious river, naked and hairless. All around him are other people in a similar situation. Shortly after they awaken, a nearby structure, nicknamed a 'grailstone', causes food and other supplies to appear in the 'grails' bound to each individual. ",54,7,Hugo
Uprooted,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Del Rey Books,"Agnieszka lives in the village of Dvernik, where every ten years, the local wizard (known as ""the Dragon"") collects one teenage girl as payment for protecting the villagers from the magical forest that surrounds them. When, against all odds, the Dragon selects Agnieszka, both their lives begin to change in ways that nobody expected.",42,51,Nebula
Where Late the Sweet Birds Sang,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Harper & Row,"The novel takes place in Virginia, somewhere near the Shenandoah River, and quickly establishes its plot line in a post-apocalyptic era.[1] The collapse of civilization around the worlds resulted from massive environmental changes and global disease, which was attributed to large-scale pollution. With a range of members privileged by virtue of education and monetary resources, one large family founds an isolated community in an attempt to survive the still developing global disasters. As the death toll rises, mainly to disease and nuclear warfare, they discover that the human population left on earth is universally infertile.[3] From cloning experiments conducted through the study of mice, the scientists in the small community theorize that the infertility might be reversed after multiple generations of cloning, and the family begins cloning themselves in an effort to survive. The assumption is that after a few generations of cloning, the people will be able to revert to traditional biological reproduction.",55,12,Hugo
